Date,EMA_200_close,EMA_50_close,EMA_200_adjClose,EMA_50_adjClose
2018-09-27,47.4576,53.286,45.1689,50.9217
2018-09-28,47.5469,53.4095,45.2565,51.0416
2018-10-01,47.6391,53.543,45.3469,51.171
2018-10-02,47.7355,53.6911,45.4412,51.3143
2018-10-03,47.8378,53.8608,45.5412,51.4782
2018-10-04,47.9289,53.9838,45.6305,51.5973
2018-10-05,48.0099,54.0657,45.7102,51.6771
2018-10-08,48.0889,54.1393,45.7877,51.7489
2018-10-09,48.1747,54.2404,45.8719,51.8469
2018-10-10,48.2336,54.2345,45.9303,51.8426
2018-10-11,48.2871,54.2101,45.9835,51.8205
2018-10-12,48.3591,54.2618,46.0544,51.8711
2018-10-15,48.4187,54.2649,46.1133,51.8751
2018-10-16,48.4895,54.3148,46.183,51.9239
2018-10-17,48.5572,54.3533,46.2498,51.9619
2018-10-18,48.6114,54.3396,46.3036,51.9498
2018-10-19,48.6733,54.3588,46.3646,51.9691
2018-10-22,48.7379,54.3903,46.4283,52.0001
2018-10-23,48.807,54.441,46.4963,52.0495
2018-10-24,48.8564,54.4148,46.5454,52.0253
2018-10-25,48.917,54.4357,46.6052,52.0462
2018-10-26,48.9683,54.4216,46.6561,52.0334
2018-10-29,49.009,54.3682,46.6968,51.9831
2018-10-30,49.052,54.3273,46.7397,51.9447
2018-10-31,49.1083,54.3425,46.7954,51.96
2018-11-01,49.1725,54.39,46.8585,52.0061
2018-11-02,49.1993,54.2912,46.8859,51.9123
2018-11-05,49.2112,54.1385,46.899,51.7668
2018-11-06,49.2285,54.0132,46.9171,51.6475
2018-11-07,49.2609,53.9534,46.9498,51.5909
2018-11-08,49.2894,53.8816,46.9805,51.5296
2018-11-09,49.3076,53.7732,47.0012,51.4329
2018-11-12,49.2999,53.568,46.9971,51.243
2018-11-13,49.2876,53.3519,46.9884,51.0424
2018-11-14,49.2618,53.0911,46.9669,50.7985
2018-11-15,49.2478,52.8856,46.9566,50.6075
2018-11-16,49.2392,52.7091,46.9514,50.444
2018-11-19,49.2116,52.4642,46.928,50.2147
2018-11-20,49.1622,52.1419,46.8836,49.9109
2018-11-21,49.1128,51.8302,46.8392,49.6171
2018-11-23,49.0527,51.4868,46.7845,49.2926
2018-11-26,48.9989,51.1797,46.7359,49.0027
2018-11-27,48.9448,50.8808,46.6869,48.7206
2018-11-28,48.9079,50.6594,46.6543,48.5126
2018-11-29,48.8679,50.4331,46.6188,48.2997
2018-11-30,48.8259,50.2061,46.5813,48.086
2018-12-03,48.7998,50.0492,46.5591,47.9394
2018-12-04,48.7538,49.8187,46.5177,47.7221
2018-12-06,48.7033,49.578,46.472,47.4947
2018-12-07,48.6378,49.2856,46.4118,47.2177
2018-12-10,48.5757,49.0156,46.355,46.9619
2018-12-11,48.5119,48.7467,46.2963,46.7071
2018-12-12,48.4498,48.4929,46.2394,46.4666
2018-12-13,48.393,48.2672,46.1875,46.253
2018-12-14,48.3231,47.9967,46.123,45.9963
2018-12-17,48.2501,47.7217,46.0555,45.7352
2018-12-18,48.1831,47.4784,45.9937,45.5044
2018-12-19,48.1039,47.1939,45.9202,45.2339
2018-12-20,48.0154,46.8807,45.8378,44.9357
2018-12-21,47.9125,46.52,45.7415,44.5919
2018-12-24,47.8011,46.1352,45.637,44.2249
2018-12-26,47.7164,45.8668,45.5581,43.9695
2018-12-27,47.63,45.599,45.4776,43.7146
2018-12-28,47.5447,45.3425,45.3981,43.4704
2018-12-31,47.464,45.1108,45.323,43.25
2019-01-02,47.3846,44.89,45.2491,43.0399
2019-01-03,47.2668,44.5236,45.1384,42.6901
2019-01-04,47.1653,44.2311,45.0432,42.4111
2019-01-07,47.064,43.9469,44.9482,42.1399
2019-01-08,46.9707,43.7014,44.8609,41.9059
2019-01-09,46.8847,43.4907,44.7806,41.7052
2019-01-10,46.8008,43.293,44.7022,41.5169
2019-01-11,46.7139,43.0883,44.621,41.3218
2019-01-14,46.6222,42.8691,44.5351,41.1129
2019-01-15,46.5391,42.6887,44.4575,40.941
2019-01-16,46.4614,42.5336,44.385,40.7934
2019-01-17,46.3868,42.3937,44.3155,40.6603
2019-01-18,46.3154,42.2686,44.249,40.5414
2019-01-22,46.2359,42.114,44.1747,40.3941
2019-01-23,46.1587,41.9715,44.1027,40.2584
2019-01-24,46.0793,41.8226,44.0284,40.1165
2019-01-25,46.0132,41.7291,43.967,40.0278
2019-01-28,45.9442,41.6251,43.9027,39.9289
2019-01-29,45.8718,41.5092,43.8352,39.8186
2019-01-30,45.8264,41.5015,43.7936,39.8121
2019-01-31,45.7845,41.5057,43.7552,39.817
2019-02-01,45.7431,41.5106,43.7174,39.8225
2019-02-04,45.714,41.5617,43.6913,39.8723
2019-02-05,45.6924,41.6394,43.6724,39.9477
2019-02-06,45.6712,41.7147,43.6539,40.0207
2019-02-07,45.642,41.7548,43.6276,40.0598
2019-02-08,45.6117,41.788,43.6021,40.0992
2019-02-11,45.5793,41.8103,43.5745,40.1278
2019-02-12,45.5509,41.8461,43.5507,40.1692
2019-02-13,45.521,41.8735,43.5255,40.2021
2019-02-14,45.4929,41.9059,43.5019,40.2397
2019-02-15,45.4642,41.9333,43.4777,40.2722
2019-02-19,45.437,41.9647,43.4549,40.3082
2019-02-20,45.4128,42.0056,43.4351,40.3532
2019-02-21,45.3865,42.0354,43.413,40.3873
2019-02-22,45.3652,42.0827,43.3958,40.4381
2019-02-25,45.3472,42.1405,43.3818,40.4988
2019-02-26,45.3296,42.1971,43.3682,40.5581
2019-02-27,45.3136,42.2567,43.3559,40.6202
2019-02-28,45.2934,42.2971,43.3397,40.6635
2019-03-01,45.278,42.3538,43.328,40.7224
2019-03-04,45.2649,42.4169,43.3186,40.7873
2019-03-05,45.2511,42.4744,43.3084,40.8466
2019-03-06,45.235,42.5197,43.296,40.894
2019-03-07,45.214,42.5434,43.2788,40.9205
2019-03-08,45.1942,42.5703,43.2628,40.9498
2019-03-11,45.1896,42.6548,43.2613,41.0346
2019-03-12,45.1899,42.7556,43.2646,41.135
2019-03-13,45.1923,42.8604,43.2698,41.2391
2019-03-14,45.1997,42.9809,43.2798,41.3582
2019-03-15,45.2129,43.1201,43.2954,41.4952
2019-03-18,45.2307,43.2724,43.3155,41.6448
2019-03-19,45.2447,43.4042,43.3318,41.7744
2019-03-20,45.2626,43.5468,43.3518,41.9143
2019-03-21,45.2975,43.7517,43.3882,42.1143
2019-03-22,45.322,43.909,43.4146,42.2682
2019-03-25,45.3405,44.0375,43.4352,42.3943
2019-03-26,45.354,44.1418,43.4509,42.497
2019-03-27,45.3716,44.2585,43.4704,42.6115
2019-03-28,45.3896,44.373,43.4904,42.7239
2019-03-29,45.4105,44.4952,43.5131,42.8436
2019-04-01,45.4343,44.6252,43.5387,42.9707
2019-04-02,45.4649,44.7773,43.5707,43.1191
2019-04-03,45.4985,44.9365,43.6056,43.2743
2019-04-04,45.5325,45.0929,43.641,43.4266
2019-04-05,45.5695,45.2559,43.6791,43.5853
2019-04-08,45.6138,45.4429,43.7243,43.767
2019-04-09,45.6562,45.6167,43.7676,43.936
2019-04-10,45.701,45.7947,43.8131,44.1089
2019-04-11,45.7412,45.9493,43.8542,44.2593
2019-04-12,45.7807,46.0971,43.8947,44.403
2019-04-15,45.8208,46.2426,43.9357,44.5445
2019-04-16,45.8605,46.3826,43.9763,44.6806
2019-04-17,45.9095,46.5551,44.0258,44.8481
2019-04-18,45.9598,46.7281,44.0765,45.0159
2019-04-22,46.0113,46.9008,44.1284,45.1834
2019-04-23,46.0696,47.0957,44.1868,45.3722
2019-04-24,46.1265,47.2797,44.2439,45.5507
2019-04-25,46.1782,47.4382,44.2958,45.7043
2019-04-26,46.2269,47.5808,44.345,45.8427
2019-04-29,46.2759,47.7209,44.3943,45.9785
2019-04-30,46.3146,47.8168,44.4338,46.0718
2019-05-01,46.3775,48.0056,44.4964,46.2546
2019-05-02,46.4363,48.1735,44.5552,46.4172
2019-05-03,46.501,48.3603,44.6196,46.598
2019-05-06,46.5569,48.5078,44.6755,46.7408
2019-05-07,46.5982,48.5943,44.7174,46.8249
2019-05-08,46.6393,48.6779,44.759,46.9061
2019-05-09,46.6745,48.7368,44.7949,46.9635
2019-05-10,46.7006,48.7587,44.8238,46.9924
2019-05-13,46.6979,48.6673,44.8249,46.9114
2019-05-14,46.7026,48.6084,44.833,46.8615
2019-05-15,46.7128,48.574,44.8464,46.835
2019-05-16,46.7208,48.5327,44.8577,46.8016
2019-05-17,46.7261,48.4824,44.8663,46.7592
2019-05-20,46.7166,48.3761,44.8606,46.6624
2019-05-21,46.7159,48.3084,44.8634,46.6027
2019-05-22,46.7058,48.2059,44.8569,46.5091
2019-05-23,46.688,48.0769,44.843,46.3896
2019-05-24,46.6686,47.9461,44.8276,46.2682
2019-05-28,46.6476,47.8132,44.8106,46.1446
2019-05-29,46.6247,47.6772,44.7917,46.0178
2019-05-30,46.6043,47.5555,44.7752,45.9046
2019-05-31,46.5761,47.407,44.7511,45.7653
2019-06-03,46.5437,47.2469,44.7229,45.6146
2019-06-04,46.5275,47.1553,44.7103,45.53
2019-06-05,46.5186,47.0957,44.7048,45.4762
2019-06-06,46.5165,47.0646,44.7058,45.4499
2019-06-07,46.5266,47.0832,44.7187,45.4714
2019-06-10,46.5427,47.1248,44.7373,45.5152
2019-06-11,46.5642,47.1867,44.7611,45.5784
2019-06-12,46.5839,47.2401,44.7831,45.6332
2019-06-13,46.6034,47.2909,44.8048,45.6855
2019-06-14,46.6191,47.326,44.823,45.7224
2019-06-17,46.6376,47.371,44.8437,45.7687
2019-06-18,46.6672,47.4589,44.8751,45.8565
2019-06-19,46.695,47.5376,44.9049,45.9353
2019-06-20,46.7266,47.6289,44.9382,46.0261
2019-06-21,46.7561,47.7099,44.9695,46.107
2019-06-24,46.7848,47.7858,45.0001,46.1827
2019-06-25,46.8058,47.8292,45.0231,46.2269
2019-06-26,46.8371,47.9124,45.056,46.3095
2019-06-27,46.8679,47.9917,45.0885,46.3883
2019-06-28,46.8939,48.0501,45.1162,46.4468
2019-07-01,46.9287,48.1417,45.1525,46.5374
2019-07-02,46.966,48.2414,45.1912,46.6356
2019-07-03,47.0072,48.3536,45.2335,46.7459
2019-07-05,47.0475,48.4596,45.275,46.8502
2019-07-08,47.0769,48.5202,45.306,46.9105
2019-07-09,47.1091,48.5904,45.3396,46.98
2019-07-10,47.1459,48.6773,45.3776,47.0656
2019-07-11,47.1786,48.7464,45.4117,47.1338
2019-07-12,47.2149,48.8279,45.4492,47.2141
2019-07-15,47.2556,48.9249,45.491,47.3093
2019-07-16,47.2941,49.0112,45.5306,47.394
2019-07-17,47.3294,49.0828,45.567,47.4646
2019-07-18,47.37,49.1743,45.6086,47.5542
2019-07-19,47.4026,49.2321,45.6425,47.6113
2019-07-22,47.4464,49.333,45.6871,47.71
2019-07-23,47.4938,49.4458,45.7352,47.8202
2019-07-24,47.5403,49.5525,45.7824,47.9245
2019-07-25,47.5823,49.6389,45.8252,48.009
2019-07-26,47.6256,49.7289,45.8692,48.0971
2019-07-29,47.6733,49.8345,45.9175,48.2001
2019-07-30,47.7183,49.927,45.9632,48.2905
2019-07-31,47.7734,50.0577,46.0186,48.4178
2019-08-01,47.8165,50.1381,46.0625,48.4964
2019-08-02,47.8483,50.1721,46.0952,48.53
2019-08-05,47.8531,50.1001,46.1019,48.461
2019-08-06,47.867,50.0667,46.1174,48.4295
2019-08-07,47.8858,50.0547,46.1376,48.4185
2019-08-08,47.9154,50.0862,46.1682,48.4496
2019-08-09,47.9386,50.0925,46.1945,48.4636
2019-08-12,47.9603,50.0936,46.2192,48.4722
2019-08-13,48.0029,50.1779,46.2642,48.5613
2019-08-14,48.0296,50.1978,46.2938,48.5876
2019-08-15,48.0536,50.2071,46.3206,48.6033
2019-08-16,48.0891,50.2628,46.3586,48.6638
2019-08-19,48.1339,50.3539,46.4056,48.7585
2019-08-20,48.1782,50.4416,46.4521,48.8496
2019-08-21,48.2278,50.5482,46.5037,48.9588
2019-08-22,48.2764,50.6489,46.5543,49.0621
2019-08-23,48.3001,50.6493,46.5807,49.0677
2019-08-26,48.3332,50.6875,46.6162,49.1098
2019-08-27,48.3601,50.7013,46.6456,49.1281
2019-08-28,48.3902,50.728,46.6781,49.1587
2019-08-29,48.4286,50.7878,46.7186,49.2213
2019-08-30,48.466,50.8426,46.7581,49.2788
2019-09-03,48.4954,50.8654,46.7899,49.3051
2019-09-04,48.5333,50.9216,46.8298,49.3636
2019-09-05,48.5809,51.0156,46.8791,49.4588
2019-09-06,48.628,51.1058,46.9279,49.5501
2019-09-09,48.6769,51.2014,46.9785,49.6464
2019-09-10,48.7316,51.318,47.0346,49.7631
2019-09-11,48.8029,51.4976,47.1069,49.9407
2019-09-12,48.8723,51.6652,47.1772,50.1067
2019-09-13,48.9301,51.7837,47.2363,50.2248
2019-09-16,48.9903,51.9089,47.2976,50.3493
2019-09-17,49.0518,52.037,47.3602,50.4765
2019-09-18,49.1179,52.1803,47.4272,50.6184
2019-09-19,49.1788,52.3003,47.4892,50.7375
2019-09-20,49.2311,52.3839,47.5428,50.8211
2019-09-23,49.2853,52.474,47.5982,50.911
2019-09-24,49.3364,52.5503,47.6505,50.9873
2019-09-25,49.3953,52.6564,47.7104,51.0926
2019-09-26,49.4508,52.7473,47.767,51.183
2019-09-27,49.5031,52.824,47.8204,51.2595
2019-09-30,49.5677,52.9483,47.8858,51.3822
2019-10-01,49.6331,53.0738,47.952,51.5059
2019-10-02,49.6839,53.1391,48.0039,51.5711
2019-10-03,49.7389,53.2201,48.0598,51.6515
2019-10-04,49.8087,53.3586,48.1301,51.7877
2019-10-07,49.8779,53.4922,48.1998,51.9191
2019-10-08,49.9398,53.5945,48.2624,52.0199
2019-10-09,50.0076,53.7185,48.3307,52.1419
2019-10-10,50.0824,53.8677,48.4058,52.2882
2019-10-11,50.1717,54.071,48.4948,52.487
2019-10-14,50.2592,54.263,48.5822,52.6748
2019-10-15,50.3445,54.4421,48.6674,52.85
2019-10-16,50.4265,54.6049,48.7494,53.0093
2019-10-17,50.5101,54.7702,48.8328,53.171
2019-10-18,50.5956,54.9401,48.9182,53.3371
2019-10-21,50.6904,55.1435,49.0125,53.5358
2019-10-22,50.7829,55.3336,49.1046,53.7214
2019-10-23,50.8826,55.5478,49.2036,53.9304
2019-10-24,50.9822,55.7574,49.3026,54.135
2019-10-25,51.0883,55.9883,49.4078,54.3602
2019-10-28,51.1995,56.2344,49.5179,54.6001
2019-10-29,51.2952,56.4143,49.613,54.7757
2019-10-30,51.3899,56.5869,49.7071,54.9441
2019-10-31,51.4974,56.8066,49.8136,55.1583
2019-11-01,51.6214,57.0869,49.9361,55.4313
2019-11-04,51.7483,57.3727,50.0614,55.7096
2019-11-05,51.873,57.6437,50.1845,55.9735
2019-11-06,51.9967,57.9051,50.3067,56.2281
2019-11-07,52.1247,58.1778,50.4349,56.501
2019-11-08,52.2532,58.4467,50.5635,56.7699
2019-11-11,52.3855,58.7253,50.6958,57.048
2019-11-12,52.5159,58.9905,50.8262,57.3129
2019-11-13,52.6512,59.27,50.9614,57.5913
2019-11-14,52.7806,59.5206,51.0908,57.8414
2019-11-15,52.9166,59.792,51.2265,58.1115
2019-11-18,53.0545,60.0658,51.3641,58.3837
2019-11-19,53.189,60.321,51.4984,58.6376
2019-11-20,53.3144,60.5357,51.6238,58.8519
2019-11-21,53.4357,60.7305,51.7451,59.0465
2019-11-22,53.5552,60.9154,51.8646,59.2313
2019-11-25,53.6849,61.138,51.9941,59.4527
2019-11-26,53.8082,61.3315,52.1172,59.6455
2019-11-27,53.939,61.5523,52.2477,59.8647
2019-11-29,54.0671,61.7585,52.3755,60.0696
2019-12-02,54.1863,61.9264,52.4946,60.237
2019-12-03,54.2925,62.0416,52.601,60.3529
2019-12-04,54.4034,62.1747,52.7119,60.4861
2019-12-05,54.5227,62.3402,52.831,60.6507
2019-12-06,54.6536,62.5495,52.9614,60.8579
2019-12-09,54.7737,62.7134,53.0813,61.0207
2019-12-10,54.8966,62.8862,53.2038,61.1921
2019-12-11,55.0239,63.0747,53.3306,61.3786
2019-12-12,55.1517,63.2626,53.4578,61.5644
2019-12-13,55.2874,63.4792,53.5927,61.7781
2019-12-16,55.4334,63.7336,53.7377,62.0285
2019-12-17,55.5794,63.9833,53.8825,62.2743
2019-12-18,55.7222,64.2167,54.0243,62.504
2019-12-19,55.8643,64.4437,54.1654,62.7274
2019-12-20,56.0036,64.6561,54.3037,62.9366
2019-12-23,56.1528,64.9049,54.4516,63.181
2019-12-24,56.3012,65.1466,54.5987,63.4185
2019-12-26,56.4622,65.4341,54.758,63.7005
2019-12-27,56.6213,65.7092,54.9155,63.9704
2019-12-30,56.783,65.9904,55.0755,64.2462
2019-12-31,56.9485,66.2815,55.2392,64.5314
2020-01-02,57.129,66.6268,55.4174,64.8695
2020-01-03,57.3004,66.93,55.5868,65.1665
2020-01-06,57.476,67.2445,55.7603,65.4744
2020-01-07,57.6464,67.5328,55.9286,65.7568
2020-01-08,57.827,67.8569,56.1068,66.0739
2020-01-09,58.0218,68.2315,56.2989,66.4402
2020-01-10,58.2165,68.5982,56.4908,66.7987
2020-01-13,58.4257,69.0155,56.6969,67.2065
2020-01-14,58.6221,69.3745,56.8905,67.5575
2020-01-15,58.8133,69.7063,57.0789,67.8819
2020-01-16,59.0123,70.0633,57.275,68.2308
2020-01-17,59.2179,70.4405,57.4775,68.5994
2020-01-21,59.4162,70.7818,57.6728,68.9328
2020-01-22,59.6153,71.1207,57.8688,69.264
2020-01-23,59.8162,71.4614,58.0667,69.5969
2020-01-24,60.0128,71.7797,58.2603,69.9078
2020-01-27,60.1842,71.9937,58.4293,70.1172
2020-01-28,60.3756,72.285,58.6179,70.4019
2020-01-29,60.5817,72.6301,58.8206,70.7389
2020-01-30,60.7846,72.9571,59.0202,71.0582
2020-01-31,60.9497,73.1304,59.183,71.2278
2020-02-03,61.111,73.2886,59.3422,71.3827
2020-02-04,61.2961,73.5406,59.5244,71.6288
2020-02-05,61.4858,73.8081,59.7112,71.8901
2020-02-06,61.683,74.102,59.9052,72.177
2020-02-07,61.8653,74.3336,60.0865,72.4105
